season,week,contestant_id,celebrity_name,ballroom_partner,J_total,p_hat,V_hat,judge_share,fan_judge_gap,momentum,popularity_score,eliminated,uncertainty_width
30,9,356,Cody Rigsby,Cheryl Burke,35.5,0.15233352041882176,1523335.2041882176,0.1570796460176991,-0.004746125598877354,0.11834331761179595,-3.4614194738434514,0,0.0
30,9,360,JoJo Siwa,Jenna Johnson,40.0,0.41408544041967815,4140854.4041967816,0.17699115044247787,0.23709428997720028,-5.551115123125783e-17,-1.025600163843452,0,0.0
30,9,363,Amanda Kloots,Alan Bersten,39.5,0.25115551535514374,2511555.1535514374,0.1747787610619469,0.07637675429319685,0.09882199493632199,-1.9617761588434521,0,0.0
30,10,355,Iman Shumpert,Daniella Karagach,40.0,0.16740509727844333,1674050.9727844333,0.25477707006369427,-0.08737197278525094,0.10325741184908595,-3.749334558777762,0,0.0
30,10,356,Cody Rigsby,Cheryl Burke,38.0,0.1015363240915518,1015363.240915518,0.24203821656050956,-0.14050189246895775,-0.07283516354877742,-2.987498516277762,0,0.0
30,10,360,JoJo Siwa,Jenna Johnson,40.0,0.45505423392341127,4550542.339234113,0.25477707006369427,0.200277163859717,-0.018936612330666736,-0.9824249992777625,0,0.0
30,10,363,Amanda Kloots,Alan Bersten,39.0,0.27600434470659363,2760043.4470659364,0.2484076433121019,0.02759670139449172,-0.011485635969641694,-1.7877481957777623,0,0.0
31,1,364,Jason Lewis,Peta Murgatroyd,18.0,0.0003589179989818226,3589.179989818226,0.04712041884816754,-0.04676150084918572,-0.06214108200101818,-2.772588722239781,1,0.002434370458687438
31,1,365,Cheryl Ladd,Louis van Amstel,21.0,0.002652065229392621,26520.65229392621,0.0549738219895288,-0.05232175676013618,-0.05984793477060738,-2.772588722239781,0,0.009422311789259764
31,1,366,Selma Blair,Sasha Farber,28.0,0.05326815408766767,532681.5408766767,0.07329842931937172,-0.020030275231704052,-0.00923184591233233,-2.772588722239781,0,0.10305736320035594
31,1,367,Joseph Baena,Daniella Karagach,23.0,0.007209060720946031,72090.60720946032,0.060209424083769635,-0.053000363362823606,-0.05529093927905397,-2.772588722239781,0,0.011293976013034064
31,1,368,Trevor Donovan,Emma Slater,21.0,0.0043725163549838296,43725.1635498383,0.0549738219895288,-0.05060130563454497,-0.05812748364501617,-2.772588722239781,0,0.004013598356002007
31,1,369,Daniel Durant,Britt Stewart,27.0,0.03230876864046728,323087.6864046728,0.07068062827225131,-0.038371859631784036,-0.030191231359532722,-2.772588722239781,0,0.020959385447200392
31,1,370,Wayne Brady,Witney Carson,29.0,0.2387313039717841,2387313.039717841,0.07591623036649214,0.16281507360529196,0.1762313039717841,-2.772588722239781,0,2.7755575615628914e-17
31,1,371,Sam Champion,Cheryl Burke,20.0,0.001608558873184443,16085.588731844431,0.05235602094240838,-0.05074746206922393,-0.060891441126815556,-2.772588722239781,0,0.01160448652896285
31,1,372,Jessie James Decker,Alan Bersten,20.0,0.0009756402745391704,9756.402745391704,0.05235602094240838,-0.05138038066786921,-0.06152435972546083,-2.772588722239781,0,0.006991365950240848
31,1,373,Jordin Sparks,Brandon Armstrong,26.0,0.019596258758005462,195962.58758005462,0.06806282722513089,-0.04846656846712543,-0.04290374124199454,-2.772588722239781,0,3.469446951953614e-18
31,1,374,Heidi D'Amelio,Artem Chigvintsev,24.0,0.011885731752392522,118857.31752392522,0.06282722513089005,-0.05094149337849753,-0.05061426824760748,-2.772588722239781,0,0.0046766710314464915
31,1,375,Charli D'Amelio,Mark Ballas,32.0,0.3936013788402584,3936013.7884025844,0.08376963350785341,0.309831745332405,0.3311013788402584,-2.772588722239781,0,0.0
31,1,376,Teresa Giudice,Pasha Pashkov,20.0,0.0005917557393584578,5917.557393584579,0.05235602094240838,-0.05176426520304992,-0.061908244260641544,-2.772588722239781,0,0.006991365950240848
31,1,377,Vinny Guadagnino,Koko Iwasaki,17.0,0.00021769477070518315,2176.9477070518315,0.04450261780104712,-0.044284923030341934,-0.062282305229294815,-2.772588722239781,0,0.004154821584278647
31,1,378,Shangela,Gleb Savchenko,28.0,0.08782433869526966,878243.3869526966,0.07329842931937172,0.014525909375897941,0.025324338695269663,-2.772588722239781,0,0.10305736320035595
31,1,379,Gabby Windey,Valentin Chmerkovskiy,28.0,0.1447978552920634,1447978.552920634,0.07329842931937172,0.07149942597269168,0.0822978552920634,-2.772588722239781,0,0.09152970120439574
