season,week,contestant_id,celebrity_name,J_total,p_hat,z_score,kappa,tie_break,w_j,w_f,merit_score,pop_score,amei_score,amei_rank,bottom2_flag,eliminated
27,6,321,Joe Amabile,22.0,0.0412538813398503,-0.674499999831375,1.0,-9.0,0.642506243756318,0.35749375624368196,0.05193868931502215,0.043549997860364016,0.04893978449692714,7,1,0
27,7,309,Juan Pablo Di Pace,28.0,0.573693843333848,0.6744999991006666,1.0,-1.5,0.6063031081322614,0.3936968918677386,0.11245191964054033,0.6061099553176493,0.30680355393215136,1,0,0
27,7,310,Evanna Lynch,29.5,0.0724050545509563,2.0234999973020003,1.0,-3.0,0.6063031081322614,0.3936968918677386,0.43334134692724613,0.07649624427486487,0.2928525391347795,2,0,0
27,7,312,John Schneider,27.0,0.0390443654765563,-0.22483333303355557,1.0,-9.0,0.6063031081322614,0.3936968918677386,0.045750028614916956,0.04125053613418351,0.04397859241026994,5,0,1
27,7,313,Milo Manheim,29.0,0.1193677119620705,1.5738333312348889,1.0,-1.5,0.6063031081322614,0.3936968918677386,0.2764027611278795,0.12611248909916956,0.21723394815221947,3,0,0
27,7,316,DeMarcus Ware,26.5,0.0413432160512689,-0.6744999991006666,1.0,-5.0,0.6063031081322614,0.3936968918677386,0.02918123165608195,0.04367928142282726,0.03488906878739337,7,1,1
27,7,318,Bobby Bones,26.5,0.0430385602412259,-0.6744999991006666,1.0,-7.5,0.6063031081322614,0.3936968918677386,0.02918123165608195,0.0454704196809119,0.03559423435250669,6,0,0
27,7,320,Alexis Ren,27.5,0.055970928884529,0.22483333303355557,1.0,-4.0,0.6063031081322614,0.3936968918677386,0.07172641453019288,0.059133521475752696,0.06676863167503694,4,0,0
27,7,321,Joe Amabile,23.5,0.0551363194995448,-3.3724999955033335,0.03,-7.5,0.6063031081322614,0.3936968918677386,0.0019650658470604827,0.0017475525946407014,0.001879431555642772,8,1,0
27,8,309,Juan Pablo Di Pace,30.0,0.1663695340753845,0.9442999992445599,1.0,-3.0,0.5749219683214647,0.4250780316785353,0.4055439754797982,0.2096825684146284,0.32228759408274743,1,0,1
27,8,310,Evanna Lynch,29.0,0.1725807141996082,0.40469999967623993,1.0,-1.0,0.5749219683214647,0.4250780316785353,0.23642459399982552,0.21751078172646582,0.22838474790712845,2,0,0
27,8,313,Milo Manheim,27.5,0.1818974843859436,-0.40469999967623993,1.0,-2.0,0.5749219683214647,0.4250780316785353,0.10523851193042365,0.2292531016942218,0.15795438964664,4,0,0
27,8,318,Bobby Bones,22.5,0.2129533850070619,-3.1026999975178398,0.03,-6.5,0.5749219683214647,0.4250780316785353,0.007086767540508152,0.008051825047602261,0.00749699228608031,6,1,0
27,8,320,Alexis Ren,29.0,0.1725807141996082,0.40469999967623993,1.0,-4.0,0.5749219683214647,0.4250780316785353,0.23642459399982552,0.21751078172646582,0.22838474790712845,2,0,0
27,8,321,Joe Amabile,23.0,0.0936181681323935,-2.83289999773368,1.0,-8.0,0.5749219683214647,0.4250780316785353,0.00928155704961879,0.117990941390616,0.05549152817027527,5,1,1
27,9,310,Evanna Lynch,30.0,0.248802917729448,0.6744999991006666,1.0,-2.5,0.5503944844598226,0.44960551554017736,0.4297674672188674,0.28579371243228746,0.36503607297379204,2,0,0
27,9,313,Milo Manheim,30.0,0.4681235498599303,0.6744999991006666,1.0,-4.0,0.5503944844598226,0.44960551554017736,0.4297674672188674,0.5377218579764899,0.478304356730274,1,0,0
27,9,318,Bobby Bones,27.0,0.1334348456279271,-2.0234999973020003,0.03,-6.0,0.5503944844598226,0.44960551554017736,0.02894056638741863,0.004598198475465975,0.017996103512896485,4,1,0
27,9,320,Alexis Ren,28.5,0.1496386867826944,-0.6744999991006666,1.0,-2.5,0.5503944844598226,0.44960551554017736,0.11152449917484675,0.1718862311157567,0.13866346678303756,3,1,0
